Бар;Дата;Время;
Честер;01.04.2026;19:30;
Резиденция;01.04.2026;20:00;
Либерти;01.04.2026;20:00;
БлаБла;01.04.2026;20:00;
Гоген;01.04.2026;20:00;
Честер;02.04.2026;19:30;
Резиденция;02.04.2026;20:00;
Гоген;02.04.2026;20:00;
Либерти;02.04.2026;20:00;
Профсоюз;02.04.2026;20:00;
Клуб;02.04.2026;20:00;
Папас;02.04.2026;20:00;
Честер;03.04.2026;19:30;
Резиденция;03.04.2026;20:00;
Гоген;03.04.2026;20:00;
Профсоюз;03.04.2026;19:00;
Либерти;03.04.2026;19:00;
Клуб;03.04.2026;20:00;
Папас;03.04.2026;19:00;
Честер;04.04.2026;15:30;
Честер;04.04.2026;19:30;
Резиденция;04.04.2026;16:00;
Резиденция;04.04.2026;20:00;
Профсоюз;04.04.2026;19:00;
Либерти;04.04.2026;16:00;
Гоген;04.04.2026;16:00;
Гоген;04.04.2026;20:00;
Честер;05.04.2026;15:30;
Честер;05.04.2026;19:30;
Резиденция;05.04.2026;16:00;
Резиденция;05.04.2026;20:00;
Гоген;05.04.2026;16:00;
Либерти;05.04.2026;16:00;
Клуб;05.04.2026;16:00;
Клуб;05.04.2026;20:00;
Честер;06.04.2026;20:00;
Резиденция;06.04.2026;20:00;
БлаБла;07.04.2026;20:00;
Резиденция;07.04.2026;20:00;
Честер;08.04.2026;19:30;
Резиденция;08.04.2026;20:00;
Либерти;08.04.2026;20:00;
БлаБла;08.04.2026;20:00;
Клуб;08.04.2026;20:00;
Честер;09.04.2026;19:30;
Резиденция;09.04.2026;20:00;
Гоген;09.04.2026;20:00;
Либерти;09.04.2026;20:00;
Профсоюз;09.04.2026;20:00;
Папас;09.04.2026;20:00;
Диско 90-х;09.04.2026;20:00;
Честер;10.04.2026;19:30;
Резиденция;10.04.2026;20:00;
Гоген;10.04.2026;20:00;
Профсоюз;10.04.2026;19:00;
Либерти;10.04.2026;19:00;
Папас;10.04.2026;19:00;
Диско 90-х;10.04.2026;20:00;
Честер;11.04.2026;15:30;
Честер;11.04.2026;19:30;
Резиденция;11.04.2026;16:00;
Резиденция;11.04.2026;20:00;
Профсоюз;11.04.2026;19:00;
Либерти;11.04.2026;16:00;
Гоген;11.04.2026;16:00;
Гоген;11.04.2026;20:00;
Честер;12.04.2026;15:30;
Честер;12.04.2026;19:30;
Резиденция;12.04.2026;16:00;
